city,district,neighborhood,number_of_rooms,area_sqm,building_age,price,property_type,floor,number_of_bathrooms
İzmir,Bornova,Güzeltepe,2+1,91,15,1337000,Villa,2,2
Ankara,Keçiören,Bahçelievler,4+1,103,22,2136000,Müstakil,1,2
İzmir,Bornova,Altıntepe,2+1,102,16,2279000,Rezidans,5,1
İstanbul,Bakırköy,Merkez,4+1,100,33,1807000,Villa,3,3
Ankara,Keçiören,Yeşilbahçe,4+1,126,26,2346000,Daire,5,2
Ankara,Çankaya,Altıntepe,5+1,75,23,1615000,Rezidans,3,1
Ankara,Çankaya,Altıntepe,4+1,128,28,2388000,Daire,Çatı,3
Ankara,Etimesgut,Bahçelievler,3+1,125,40,1707000,Rezidans,3,1
İstanbul,Beşiktaş,Bahçelievler,5+1,168,1,3177000,Villa,5,1
İzmir,Karşıyaka,Yeşilbahçe,1+1,95,3,1540000,Daire,2,2
İzmir,Bornova,Güzeltepe,4+1,89,12,1506000,Rezidans,2,1
Ankara,Yenimahalle,Altıntepe,2+1,142,19,2010000,Müstakil,1,1
Ankara,Çankaya,Altıntepe,1+1,100,19,1696000,Daire,4,3
Ankara,Etimesgut,Altıntepe,3+1,111,42,1819000,Daire,1,2
İstanbul,Beşiktaş,Merkez,5+1,102,40,1588000,Müstakil,Çatı,3
Ankara,Yenimahalle,Altıntepe,4+1,91,16,2005000,Müstakil,2,1
Ankara,Etimesgut,Altıntepe,2+1,96,41,1621000,Rezidans,Zemin,2
İzmir,Buca,Bahçelievler,2+1,67,7,1588000,Müstakil,2,3
Ankara,Keçiören,Merkez,3+1,54,13,1042000,Daire,1,3
Ankara,Yenimahalle,Merkez,2+1,86,32,1704000,Rezidans,3,2
İzmir,Karşıyaka,Bahçelievler,2+1,149,21,3073000,Villa,1,3
İzmir,Buca,Bahçelievler,4+1,51,17,943000,Müstakil,2,1
Ankara,Etimesgut,Yeşilbahçe,2+1,121,39,2109000,Villa,1,2
Ankara,Keçiören,Güzeltepe,4+1,86,2,1320000,Daire,1,1
İstanbul,Üsküdar,Bahçelievler,1+1,110,43,1780000,Rezidans,4,2
Ankara,Etimesgut,Bahçelievler,2+1,88,49,1550000,Rezidans,2,2
İstanbul,Bakırköy,Güzeltepe,5+1,99,2,2188000,Villa,3,1
İzmir,Bornova,Altıntepe,4+1,131,21,2294000,Müstakil,3,3
Ankara,Etimesgut,Merkez,4+1,52,42,811000,Müstakil,4,1
İzmir,Bornova,Bahçelievler,1+1,65,30,1166000,Villa,2,1
Ankara,Keçiören,Merkez,3+1,98,42,1570000,Müstakil,4,3
İstanbul,Kadıköy,Bahçelievler,3+1,98,15,2091000,Villa,1,3
İstanbul,Üsküdar,Güzeltepe,2+1,55,19,748000,Villa,Zemin,3
Ankara,Çankaya,Altıntepe,5+1,90,46,988000,Villa,Çatı,3
Ankara,Yenimahalle,Altıntepe,3+1,85,25,1508000,Villa,Çatı,1
İzmir,Karşıyaka,Merkez,1+1,49,36,684000,Daire,Zemin,3
Ankara,Çankaya,Bahçelievler,1+1,89,18,1278000,Daire,5,2
İstanbul,Beşiktaş,Altıntepe,1+1,133,34,1907000,Villa,3,3
İstanbul,Beşiktaş,Merkez,2+1,109,44,1284000,Villa,3,2
İzmir,Buca,Yeşilbahçe,2+1,76,27,1051000,Müstakil,5,3
İstanbul,Bakırköy,Merkez,3+1,132,3,2423000,Rezidans,Zemin,1
İstanbul,Üsküdar,Güzeltepe,4+1,131,8,2873000,Müstakil,Zemin,3
İstanbul,Kadıköy,Yeşilbahçe,4+1,30,21,614000,Rezidans,3,2
İstanbul,Üsküdar,Altıntepe,1+1,146,47,2613000,Müstakil,Çatı,2
Ankara,Yenimahalle,Yeşilbahçe,3+1,131,3,3058000,Daire,Çatı,2
İstanbul,Bakırköy,Güzeltepe,3+1,65,14,1117000,Villa,Çatı,2
Ankara,Yenimahalle,Bahçelievler,1+1,109,45,1394000,Rezidans,4,2
Ankara,Keçiören,Güzeltepe,5+1,130,41,1836000,Daire,2,1
İstanbul,Kadıköy,Altıntepe,4+1,66,10,1295000,Villa,1,3
İzmir,Bornova,Bahçelievler,2+1,101,46,1449000,Rezidans,5,3
İzmir,Buca,Güzeltepe,2+1,56,0,1155000,Daire,3,2
İzmir,Konak,Güzeltepe,2+1,46,25,823000,Villa,Çatı,1
İzmir,Karşıyaka,Güzeltepe,5+1,118,18,1861000,Daire,4,3
Ankara,Yenimahalle,Bahçelievler,1+1,108,28,2130000,Daire,Çatı,1
Ankara,Keçiören,Bahçelievler,3+1,81,29,1501000,Villa,2,1
İstanbul,Beşiktaş,Merkez,1+1,112,6,2373000,Rezidans,2,2
İstanbul,Üsküdar,Güzeltepe,2+1,101,38,1641000,Müstakil,2,3
İzmir,Buca,Merkez,1+1,64,30,966000,Rezidans,Zemin,1
Ankara,Çankaya,Bahçelievler,1+1,87,29,1267000,Rezidans,5,1
İstanbul,Üsküdar,Merkez,2+1,101,38,1742000,Rezidans,Zemin,1
İstanbul,Bakırköy,Yeşilbahçe,4+1,65,31,1285000,Villa,3,2
Ankara,Çankaya,Yeşilbahçe,2+1,148,23,3044000,Villa,Zemin,3
İzmir,Karşıyaka,Bahçelievler,5+1,101,42,1540000,Rezidans,Çatı,1
İzmir,Buca,Merkez,1+1,115,44,1608000,Villa,4,2
Ankara,Yenimahalle,Merkez,4+1,120,14,1670000,Daire,3,1
İstanbul,Bakırköy,Yeşilbahçe,2+1,77,14,1693000,Villa,1,1
İstanbul,Bakırköy,Merkez,1+1,92,20,1673000,Daire,3,1
Ankara,Keçiören,Yeşilbahçe,4+1,97,10,1937000,Müstakil,4,2
Ankara,Yenimahalle,Yeşilbahçe,3+1,118,45,1679000,Villa,Çatı,1
İzmir,Karşıyaka,Güzeltepe,2+1,43,15,897000,Rezidans,Çatı,1
Ankara,Keçiören,Bahçelievler,4+1,107,1,1844000,Villa,1,2
İstanbul,Kadıköy,Güzeltepe,2+1,112,49,1514000,Rezidans,1,1
İstanbul,Beşiktaş,Güzeltepe,4+1,131,3,2858000,Villa,4,1
İzmir,Buca,Merkez,2+1,113,45,1517000,Müstakil,4,1
Ankara,Çankaya,Altıntepe,1+1,59,25,933000,Daire,2,2
İstanbul,Bakırköy,Merkez,4+1,95,42,1134000,Müstakil,3,3
İzmir,Buca,Bahçelievler,4+1,141,4,2954000,Müstakil,2,2
Ankara,Yenimahalle,Merkez,1+1,127,23,2304000,Müstakil,4,2
Ankara,Etimesgut,Altıntepe,3+1,138,48,2307000,Müstakil,2,3
İstanbul,Kadıköy,Güzeltepe,4+1,95,37,1245000,Villa,Çatı,3
İzmir,Buca,Altıntepe,4+1,120,49,1687000,Villa,Zemin,2
Ankara,Çankaya,Altıntepe,2+1,124,38,2327000,Müstakil,2,3
İstanbul,Üsküdar,Bahçelievler,3+1,50,42,886000,Villa,2,2
Ankara,Yenimahalle,Bahçelievler,4+1,104,46,1224000,Daire,1,3
İzmir,Karşıyaka,Merkez,3+1,99,26,1299000,Daire,4,1
İzmir,Bornova,Güzeltepe,5+1,82,16,1644000,Daire,4,2
Ankara,Yenimahalle,Yeşilbahçe,2+1,129,17,2126000,Villa,2,3
İstanbul,Beşiktaş,Güzeltepe,2+1,127,11,2950000,Daire,4,3
İzmir,Karşıyaka,Altıntepe,1+1,67,22,1182000,Daire,3,1
İstanbul,Bakırköy,Merkez,4+1,120,35,2172000,Müstakil,5,3
İzmir,Karşıyaka,Güzeltepe,1+1,90,8,1925000,Daire,5,3
Ankara,Keçiören,Altıntepe,2+1,101,42,1768000,Villa,1,2
İzmir,Buca,Merkez,5+1,168,11,3852000,Rezidans,5,3
Ankara,Çankaya,Merkez,1+1,40,40,481000,Müstakil,3,2
İstanbul,Bakırköy,Merkez,1+1,130,40,1571000,Müstakil,5,2
İzmir,Karşıyaka,Altıntepe,4+1,88,42,1432000,Daire,2,2
Ankara,Keçiören,Merkez,3+1,137,14,2237000,Rezidans,3,3
İzmir,Karşıyaka,Bahçelievler,5+1,110,12,1891000,Müstakil,3,1
Ankara,Keçiören,Merkez,1+1,90,3,2142000,Villa,1,1
İstanbul,Bakırköy,Merkez,2+1,105,18,2220000,Villa,3,2
İzmir,Bornova,Yeşilbahçe,1+1,143,40,2081000,Müstakil,Çatı,3
Ankara,Çankaya,Altıntepe,1+1,141,6,2568000,Müstakil,4,2
Ankara,Çankaya,Bahçelievler,1+1,88,40,1593000,Villa,2,1
Ankara,Çankaya,Bahçelievler,3+1,60,4,926000,Daire,5,3
Ankara,Keçiören,Bahçelievler,1+1,120,22,1853000,Rezidans,Çatı,1
İstanbul,Üsküdar,Yeşilbahçe,4+1,100,10,2065000,Müstakil,5,3
Ankara,Keçiören,Yeşilbahçe,3+1,96,12,1883000,Rezidans,2,3
İzmir,Buca,Merkez,1+1,70,8,1113000,Villa,1,1
İzmir,Bornova,Bahçelievler,1+1,104,35,1291000,Daire,1,3
İzmir,Buca,Bahçelievler,2+1,45,46,800000,Müstakil,Zemin,1
İstanbul,Beşiktaş,Yeşilbahçe,1+1,46,1,905000,Daire,5,2
İzmir,Karşıyaka,Altıntepe,1+1,104,5,2046000,Daire,2,2
Ankara,Çankaya,Güzeltepe,4+1,109,39,1469000,Rezidans,Zemin,1
Ankara,Etimesgut,Güzeltepe,4+1,114,46,1367000,Daire,3,2
Ankara,Yenimahalle,Altıntepe,3+1,113,45,1340000,Villa,5,3
Ankara,Çankaya,Merkez,4+1,138,34,2719000,Villa,1,2
İzmir,Karşıyaka,Bahçelievler,1+1,61,43,734000,Daire,3,2
İstanbul,Beşiktaş,Bahçelievler,5+1,95,48,1286000,Rezidans,Zemin,1
İzmir,Konak,Yeşilbahçe,4+1,92,9,2151000,Villa,1,3
Ankara,Keçiören,Güzeltepe,2+1,31,44,553000,Villa,2,1
Ankara,Yenimahalle,Altıntepe,1+1,92,7,1857000,Daire,3,2
Ankara,Etimesgut,Merkez,3+1,152,18,2790000,Müstakil,4,1
İstanbul,Bakırköy,Yeşilbahçe,2+1,118,33,2242000,Villa,Zemin,2
Ankara,Etimesgut,Güzeltepe,1+1,135,5,2688000,Rezidans,4,1
İzmir,Buca,Bahçelievler,4+1,102,43,1301000,Rezidans,3,2
İzmir,Buca,Bahçelievler,2+1,133,32,1807000,Müstakil,3,2
İstanbul,Üsküdar,Bahçelievler,4+1,78,2,1466000,Rezidans,Çatı,2
İzmir,Bornova,Altıntepe,2+1,106,11,2428000,Daire,1,3
İstanbul,Üsküdar,Yeşilbahçe,4+1,92,42,1699000,Daire,Zemin,3
İzmir,Konak,Güzeltepe,1+1,122,13,1792000,Müstakil,2,2
İstanbul,Üsküdar,Altıntepe,3+1,93,6,1679000,Daire,2,1
İzmir,Bornova,Altıntepe,5+1,83,43,964000,Müstakil,1,2
Ankara,Etimesgut,Merkez,4+1,126,41,2332000,Villa,1,3
İzmir,Konak,Yeşilbahçe,4+1,65,18,886000,Daire,Zemin,3
İstanbul,Beşiktaş,Güzeltepe,1+1,85,30,1251000,Daire,2,3
İstanbul,Kadıköy,Altıntepe,2+1,93,8,2101000,Daire,1,2
İstanbul,Beşiktaş,Merkez,5+1,97,46,1564000,Daire,Zemin,3
Ankara,Keçiören,Bahçelievler,5+1,56,16,1067000,Rezidans,1,1
Ankara,Etimesgut,Yeşilbahçe,5+1,155,1,2534000,Villa,Zemin,2
İzmir,Bornova,Altıntepe,2+1,99,27,1868000,Rezidans,Zemin,3
İzmir,Bornova,Yeşilbahçe,5+1,82,44,1240000,Rezidans,Zemin,1
Ankara,Yenimahalle,Yeşilbahçe,2+1,52,17,786000,Müstakil,5,3
Ankara,Çankaya,Merkez,2+1,62,29,1090000,Müstakil,4,3
İzmir,Karşıyaka,Merkez,4+1,127,31,1700000,Müstakil,4,3
Ankara,Etimesgut,Güzeltepe,4+1,93,32,1261000,Villa,5,3
Ankara,Yenimahalle,Güzeltepe,2+1,72,3,1306000,Rezidans,1,1
İstanbul,Kadıköy,Yeşilbahçe,4+1,91,16,1462000,Villa,4,3
İstanbul,Üsküdar,Yeşilbahçe,1+1,30,18,641000,Daire,4,2
İzmir,Konak,Bahçelievler,4+1,132,34,1980000,Müstakil,5,2
Ankara,Çankaya,Güzeltepe,4+1,92,33,1834000,Rezidans,Çatı,2
Ankara,Çankaya,Altıntepe,3+1,92,37,1364000,Rezidans,4,3
Ankara,Yenimahalle,Altıntepe,5+1,53,37,906000,Müstakil,Çatı,2
İstanbul,Bakırköy,Altıntepe,2+1,123,16,2279000,Rezidans,5,2
İzmir,Bornova,Altıntepe,4+1,56,15,940000,Müstakil,4,3
Ankara,Çankaya,Bahçelievler,1+1,119,22,1791000,Villa,2,1
Ankara,Çankaya,Yeşilbahçe,5+1,117,21,1579000,Villa,Zemin,3
İstanbul,Kadıköy,Güzeltepe,5+1,114,35,1928000,Müstakil,Zemin,2
İzmir,Karşıyaka,Bahçelievler,5+1,100,18,2061000,Villa,4,1
Ankara,Keçiören,Yeşilbahçe,4+1,64,43,1021000,Rezidans,4,1
İzmir,Karşıyaka,Merkez,4+1,41,37,651000,Rezidans,Çatı,2
Ankara,Yenimahalle,Güzeltepe,5+1,141,6,2083000,Daire,2,1
İstanbul,Beşiktaş,Bahçelievler,3+1,163,41,3055000,Rezidans,5,1
Ankara,Yenimahalle,Güzeltepe,2+1,46,43,568000,Villa,3,2
İstanbul,Bakırköy,Altıntepe,2+1,131,1,2702000,Müstakil,4,2
İzmir,Buca,Güzeltepe,5+1,109,15,2299000,Villa,Zemin,3
Ankara,Etimesgut,Altıntepe,4+1,121,5,2364000,Daire,5,2
İzmir,Buca,Merkez,5+1,100,38,1774000,Villa,Çatı,2
İstanbul,Beşiktaş,Merkez,5+1,116,5,2353000,Rezidans,Çatı,3
İstanbul,Bakırköy,Altıntepe,2+1,116,46,1504000,Müstakil,Çatı,2
İzmir,Karşıyaka,Altıntepe,4+1,68,45,781000,Daire,1,2
Ankara,Etimesgut,Altıntepe,3+1,125,34,2321000,Daire,Zemin,2
İzmir,Konak,Merkez,3+1,142,33,2466000,Rezidans,Zemin,2
Ankara,Keçiören,Altıntepe,3+1,96,21,1642000,Müstakil,5,1
İzmir,Bornova,Güzeltepe,3+1,127,26,2321000,Müstakil,2,1
Ankara,Yenimahalle,Merkez,4+1,125,38,1770000,Villa,3,3
İzmir,Bornova,Altıntepe,1+1,56,33,792000,Rezidans,Çatı,3
İstanbul,Üsküdar,Bahçelievler,1+1,89,8,1763000,Daire,Zemin,2
Ankara,Yenimahalle,Bahçelievler,3+1,112,15,2365000,Rezidans,5,1
İzmir,Bornova,Güzeltepe,1+1,30,19,657000,Rezidans,4,2
İzmir,Karşıyaka,Altıntepe,2+1,119,7,2318000,Villa,Çatı,2
İstanbul,Beşiktaş,Güzeltepe,1+1,95,32,1450000,Villa,1,3
Ankara,Keçiören,Bahçelievler,5+1,79,21,1659000,Villa,1,1
İzmir,Karşıyaka,Altıntepe,1+1,81,34,1329000,Villa,3,2
Ankara,Etimesgut,Yeşilbahçe,4+1,113,26,1963000,Rezidans,Çatı,1
İzmir,Bornova,Merkez,1+1,68,34,1093000,Rezidans,3,1
İstanbul,Beşiktaş,Güzeltepe,3+1,37,21,701000,Villa,5,3
Ankara,Etimesgut,Merkez,1+1,121,27,2357000,Rezidans,2,2
Ankara,Yenimahalle,Altıntepe,4+1,136,47,1579000,Rezidans,2,2
Ankara,Etimesgut,Güzeltepe,3+1,81,13,1569000,Rezidans,4,3
Ankara,Yenimahalle,Bahçelievler,1+1,92,18,1752000,Villa,1,3
İzmir,Buca,Merkez,3+1,66,0,1370000,Daire,1,1
İzmir,Buca,Merkez,1+1,122,49,1712000,Rezidans,1,3
Ankara,Yenimahalle,Güzeltepe,4+1,34,34,582000,Müstakil,2,3
İstanbul,Kadıköy,Bahçelievler,4+1,54,44,790000,Daire,Zemin,2
İstanbul,Bakırköy,Yeşilbahçe,1+1,34,15,645000,Daire,5,2
İstanbul,Kadıköy,Yeşilbahçe,2+1,125,35,1782000,Villa,5,2
İstanbul,Üsküdar,Bahçelievler,4+1,121,4,2635000,Rezidans,Zemin,1
Ankara,Yenimahalle,Altıntepe,5+1,161,24,3235000,Daire,Zemin,3
İstanbul,Üsküdar,Merkez,5+1,52,13,1147000,Müstakil,3,1
İstanbul,Kadıköy,Altıntepe,4+1,154,40,1834000,Daire,4,3
İzmir,Bornova,Altıntepe,3+1,77,39,1224000,Rezidans,3,2
İzmir,Buca,Merkez,2+1,118,5,2399000,Rezidans,2,1
İzmir,Buca,Altıntepe,1+1,93,39,1475000,Müstakil,Zemin,3
İzmir,Buca,Yeşilbahçe,3+1,63,37,1076000,Daire,3,1
İzmir,Buca,Güzeltepe,1+1,57,3,1223000,Müstakil,Zemin,2
İstanbul,Bakırköy,Altıntepe,3+1,30,49,324000,Müstakil,Zemin,2
Ankara,Etimesgut,Merkez,4+1,56,6,1325000,Müstakil,3,2
İstanbul,Kadıköy,Altıntepe,2+1,81,43,1329000,Daire,4,2
İstanbul,Üsküdar,Merkez,3+1,106,47,1532000,Müstakil,3,2
Ankara,Keçiören,Merkez,1+1,111,32,1510000,Villa,2,3
İstanbul,Kadıköy,Güzeltepe,4+1,106,15,2103000,Villa,2,1
İstanbul,Beşiktaş,Bahçelievler,4+1,127,17,2727000,Daire,5,3
İzmir,Buca,Merkez,3+1,48,31,920000,Rezidans,3,3
Ankara,Yenimahalle,Altıntepe,5+1,109,43,1389000,Daire,2,3
İzmir,Bornova,Bahçelievler,5+1,100,30,1894000,Villa,5,2
İzmir,Konak,Merkez,1+1,62,24,993000,Villa,3,3
Ankara,Etimesgut,Altıntepe,3+1,111,47,1456000,Daire,Zemin,2
İstanbul,Bakırköy,Yeşilbahçe,3+1,118,0,2927000,Rezidans,1,1
İzmir,Konak,Yeşilbahçe,2+1,115,29,1851000,Rezidans,Çatı,1
İstanbul,Bakırköy,Güzeltepe,5+1,88,27,1263000,Daire,Zemin,2
İzmir,Konak,Güzeltepe,1+1,103,32,1667000,Villa,Zemin,3
İzmir,Buca,Merkez,3+1,124,24,1861000,Müstakil,3,3
İstanbul,Beşiktaş,Yeşilbahçe,3+1,100,19,1655000,Villa,2,2
İzmir,Buca,Güzeltepe,3+1,149,48,2395000,Villa,3,2
İstanbul,Kadıköy,Merkez,3+1,120,8,2851000,Villa,Çatı,2
Ankara,Çankaya,Yeşilbahçe,1+1,73,44,1233000,Rezidans,3,1
Ankara,Keçiören,Yeşilbahçe,5+1,94,15,2085000,Villa,1,3
İstanbul,Üsküdar,Altıntepe,2+1,121,17,1641000,Müstakil,3,2
İstanbul,Bakırköy,Bahçelievler,3+1,65,13,1490000,Daire,5,1
İstanbul,Üsküdar,Bahçelievler,2+1,112,4,1922000,Rezidans,3,2
İzmir,Buca,Bahçelievler,3+1,109,12,1902000,Daire,Zemin,3
İstanbul,Beşiktaş,Merkez,4+1,76,18,1142000,Rezidans,1,3
İstanbul,Üsküdar,Yeşilbahçe,2+1,101,19,1655000,Rezidans,Zemin,1
Ankara,Çankaya,Merkez,4+1,131,16,2668000,Müstakil,Çatı,3
İstanbul,Üsküdar,Merkez,3+1,138,20,2387000,Rezidans,2,3
İzmir,Karşıyaka,Altıntepe,2+1,50,43,792000,Daire,1,1
İzmir,Konak,Merkez,2+1,149,31,1991000,Müstakil,5,3
İzmir,Karşıyaka,Yeşilbahçe,1+1,115,29,1875000,Rezidans,3,1
İzmir,Konak,Merkez,2+1,179,14,2592000,Daire,5,1
Ankara,Etimesgut,Yeşilbahçe,5+1,73,43,1124000,Müstakil,1,3
İzmir,Buca,Yeşilbahçe,1+1,108,13,2207000,Daire,2,3
Ankara,Etimesgut,Güzeltepe,4+1,141,9,2082000,Daire,2,1
İstanbul,Beşiktaş,Bahçelievler,1+1,96,47,1703000,Daire,2,2
İstanbul,Beşiktaş,Altıntepe,1+1,85,27,1317000,Müstakil,5,2
İzmir,Buca,Merkez,5+1,123,13,2167000,Rezidans,Çatı,1
İzmir,Buca,Güzeltepe,1+1,78,28,1445000,Müstakil,4,1
İstanbul,Bakırköy,Yeşilbahçe,3+1,121,46,1604000,Rezidans,1,2
İzmir,Bornova,Merkez,3+1,84,22,1224000,Villa,2,2
İzmir,Bornova,Güzeltepe,2+1,90,2,1703000,Villa,5,2
Ankara,Çankaya,Merkez,5+1,87,30,1699000,Rezidans,2,1
Ankara,Etimesgut,Yeşilbahçe,4+1,82,22,1503000,Rezidans,Çatı,1
İzmir,Konak,Bahçelievler,1+1,129,14,2055000,Daire,4,1
İstanbul,Bakırköy,Bahçelievler,2+1,76,29,1413000,Müstakil,3,1
İzmir,Bornova,Yeşilbahçe,1+1,75,11,1496000,Daire,1,2
İstanbul,Üsküdar,Merkez,5+1,30,17,656000,Rezidans,4,3
Ankara,Çankaya,Yeşilbahçe,1+1,94,41,1517000,Daire,3,1
İstanbul,Beşiktaş,Güzeltepe,2+1,114,30,1514000,Rezidans,4,1
Ankara,Çankaya,Altıntepe,5+1,111,46,1581000,Rezidans,3,1
İstanbul,Üsküdar,Yeşilbahçe,3+1,112,2,2021000,Villa,Çatı,1
İzmir,Bornova,Yeşilbahçe,1+1,76,18,1541000,Müstakil,3,2
İzmir,Buca,Merkez,4+1,167,29,3261000,Villa,5,1
İstanbul,Kadıköy,Merkez,4+1,67,40,851000,Müstakil,5,1
İstanbul,Bakırköy,Güzeltepe,3+1,138,25,1981000,Rezidans,2,1
Ankara,Etimesgut,Güzeltepe,2+1,151,12,3230000,Daire,Zemin,3
İstanbul,Beşiktaş,Yeşilbahçe,2+1,79,13,1330000,Müstakil,5,2
Ankara,Yenimahalle,Yeşilbahçe,5+1,71,46,825000,Rezidans,5,2
İstanbul,Bakırköy,Güzeltepe,1+1,52,21,698000,Rezidans,4,3
Ankara,Yenimahalle,Merkez,2+1,69,26,1268000,Villa,Çatı,2
İzmir,Karşıyaka,Merkez,5+1,101,2,2211000,Rezidans,2,1
İzmir,Konak,Merkez,5+1,78,30,1210000,Villa,1,3
